Restaurant,Style,Street,Suite,City,State,Website,Notes
MP International,Jamaican,12914 Jefferson Ave,,Newport News,Virginia,,Go for lunch
Gold Taste,Sushi,4680 Monticello Ave,Suite 18A,Williamsburg,Virginia,https://goldtaste.yolasite.com/menu.php,Nigiri FTW
